,Closest City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
1800,kangaba,ml,11.93,-8.42,86.89,25,0,7.4
1352,waitati,nz,-45.75,170.57,51.92,80,8,2.93
1285,nong chik,th,6.84,101.18,76.58,97,88,3.94
2200,lamont,ca,53.77,-112.8,19.4,67,1,8.05
1078,sao joao da barra,br,-21.64,-41.05,80.6,65,75,14.99
1425,saint-pierre,pm,46.77,-56.17,33.8,80,90,12.75
172,new norfolk,au,-42.78,147.06,45.49,98,76,7.96
388,novyye burasy,ru,52.13,46.07,28.4,100,90,17.9
443,cidreira,br,-30.18,-50.21,81.31,69,76,6.62
2143,orda,ru,57.2,56.91,25.46,90,92,13.67
193,severo-kurilsk,ru,50.68,156.12,24.47,100,56,18.03
1813,khuzhir,ru,53.19,107.34,4.36,100,56,4.5
477,matay,eg,28.42,30.78,59.26,72,0,7.07
1372,caraballeda,ve,10.61,-66.85,87.8,58,20,6.93
2139,kurchum,kz,48.57,83.65,11.24,88,56,3.38
232,amga,ru,60.9,131.96,-33.27,0,68,4.05
1912,anchorage,us,61.22,-149.9,30.2,100,75,5.82
1081,megion,ru,61.03,76.11,28.4,86,75,13.42
752,qaqortoq,gl,60.72,-46.03,28.4,92,75,3.36
1705,leh,in,34.17,77.58,-22.02,19,0,1.92
746,esperance,au,-33.87,121.9,66.32,40,88,16.02
82,kazachinskoye,ru,57.7,93.28,13.09,71,88,9.98
1002,novosibirsk,ru,55.04,82.93,8.6,78,90,8.95
1578,osoyoos,ca,49.03,-119.45,39.2,60,20,14.99
1048,novolabinskaya,ru,45.11,39.89,44.6,87,0,2.24
712,verkhoyansk,ru,67.54,133.38,-35.52,0,48,2.82
355,oktyabrskiy,ru,54.48,53.47,24.11,85,88,15.57
2491,daru,pg,-9.08,143.21,78.97,100,8,6.06
635,binzhou,cn,37.37,118.02,24.25,68,56,7.96
325,denpasar,id,-8.65,115.22,80.6,88,40,3.36
2027,mazamitla,mx,19.92,-103.03,75.01,36,0,2.04
243,nemuro,jp,43.32,145.57,39.77,100,20,21.05
77,ust-tsilma,ru,65.44,52.15,31,77,88,8.75
316,monrovia,lr,6.3,-10.8,82.4,83,40,10.42
184,karachi,pk,24.91,67.08,64.4,25,0,5.82
190,torbay,ca,47.67,-52.73,33.8,100,90,14.99
744,don sak,th,9.32,99.69,79.87,100,88,13.56
1580,paitan,ph,6.66,124.87,72.44,100,92,2.93
2368,cootamundra,au,-34.65,148.03,45.98,92,24,2.93
600,mount isa,au,-20.73,139.5,71.6,28,0,17.22
2269,phan thiet,vn,10.93,108.1,80.72,90,80,15.46
1992,lamu,ke,-2.27,40.9,81.44,88,0,10.42
1868,arroio grande,br,-32.24,-53.09,68.48,100,92,15.23
1715,tingi,tz,-11.3,35.03,78.92,100,8,5.39
826,fort nelson,ca,58.81,-122.7,-2.21,84,75,2.24
271,kavieng,pg,-2.57,150.8,76.76,100,92,15.01
557,port lincoln,au,-34.73,135.87,58.31,98,68,10.42
875,porto walter,br,-8.27,-72.74,88.6,68,36,2.93
1191,thinadhoo,mv,0.53,72.93,81.22,100,44,12.21
736,usinsk,ru,65.99,57.53,29.2,86,88,11.43
1631,nalut,ly,31.87,10.98,40.76,58,0,4.94
81,ponto novo,br,-10.86,-40.13,91.3,40,0,9.19
692,innisfail,au,-17.53,146.03,69.61,96,100,1.92
20,flinders,au,-34.58,150.86,57.2,93,90,13.87
1044,boyolangu,id,-8.12,111.89,80.54,100,20,9.98
2166,merauke,id,-8.47,140.33,79.69,98,92,4.61
241,grand forks,us,47.93,-97.03,35.6,80,90,4.61
774,iqaluit,ca,63.75,-68.51,12.2,72,75,6.93
1712,martapura,id,-3.42,114.85,78.8,88,90,1.12
796,resen,mk,41.09,21.01,46.4,61,75,9.17
139,isangel,vu,-19.55,169.27,75.68,100,88,10.65
2172,sosnogorsk,ru,63.6,53.88,30.37,76,88,9.08
2220,terrasini,it,38.15,13.08,50,71,40,12.75
1076,baculin,ph,7.45,126.58,75.32,95,0,6.06
2293,osinovo,ru,55.88,48.88,26.6,100,90,11.18
392,ndioum,sn,16.51,-14.65,91.4,21,0,2.24
1805,yumen,cn,40.28,97.2,12.68,76,32,7.29
295,narsaq,gl,60.92,-46.05,28.4,92,75,3.36
1087,houlton,us,46.13,-67.84,30.2,92,90,5.82
351,kamenka,ru,51.32,42.77,33.97,94,92,15.35
365,andros,gr,37.83,24.93,62.6,88,20,11.41
251,katsuura,jp,35.13,140.3,46.4,70,0,5.82
961,teknaf,bd,20.86,92.31,61.24,94,0,4.05
409,pevek,ru,69.7,170.31,22,88,80,16.69
1341,samarai,pg,-10.62,150.67,81.04,100,0,11.77
2355,khandagayty,ru,50.73,92.05,8.54,74,0,2.93
581,san cristobal,ec,-0.9,-89.62,77,69,75,13.87
2209,portree,gb,57.41,-6.19,46.75,100,64,11.77
2088,madera,mx,29.2,-108.12,56.47,87,0,3.15
851,aklavik,ca,68.22,-135.01,-4.01,83,20,9.17
1112,kabugao,ph,18.02,121.18,70.96,99,80,1.81
2192,abha,sa,18.22,42.51,59,67,0,2.15
1227,zyryanka,ru,65.75,150.85,-1,56,80,12.55
523,ajdabiya,ly,30.76,20.23,62.05,66,32,7.96
248,bonavista,ca,48.65,-53.11,34.64,100,32,16.46
1306,vangaindrano,mg,-23.35,47.6,72.94,94,88,3.94
1485,chute-aux-outardes,ca,49.12,-68.4,30.2,86,90,6.93
529,dutlwe,bw,-23.98,23.9,84.86,32,76,7.4
1764,sosenskiy,ru,54.06,35.96,27.67,91,80,5.84
345,margherita,in,27.28,95.68,54.89,85,20,2.15
986,puerto cabezas,ni,14.04,-83.39,75.77,100,92,13.89
1645,college,us,64.86,-147.8,17.6,92,90,2.71
30,ambon,id,-3.7,128.18,77,94,40,4.7
937,birao,cf,10.28,22.79,78.25,27,0,9.64
245,ballitoville,za,-29.54,31.21,70.42,79,80,10.98
125,sur,om,22.57,59.53,73.16,100,0,9.19
725,mandan,us,46.83,-100.89,48.2,39,1,6.93
1895,tahoua,ne,14.89,5.27,84.2,9,0,6.93
1299,nanortalik,gl,60.14,-45.24,30.1,95,0,12.55
510,omboue,ga,-1.57,9.26,78.97,100,44,4.27
19,barrow,us,71.29,-156.79,10.4,85,90,26.4
1021,fuerte olimpo,py,-21.04,-57.87,85.45,84,44,9.98
651,touros,br,-5.2,-35.46,85.94,65,0,15.9
166,tibiri,ne,13.56,7.05,80.6,19,0,6.93
1650,bima,id,-8.47,118.72,75.68,100,8,2.93
474,rio gallegos,ar,-51.62,-69.22,66.2,29,0,20.8
1722,liepaja,lv,56.52,21.02,39.2,93,92,23.04
1121,pangnirtung,ca,66.15,-65.71,14,72,75,5.82
541,nome,us,64.5,-165.41,28.4,91,90,13.87
1952,hede,cn,33.77,120.25,31.54,89,0,3.27
1108,alta floresta,br,-9.88,-56.09,80.32,83,76,2.15
1998,cangucu,br,-31.39,-52.68,77,83,75,11.41
2163,siedlce,pl,52.17,22.29,24.92,100,76,2.93
138,qaanaaq,gl,77.48,-69.36,14.21,88,68,10.42
177,kasempa,zm,-13.46,25.83,68.93,93,64,4.05
140,bambous virieux,mu,-20.34,57.76,78.8,69,20,13.87
1241,quatre cocos,mu,-20.21,57.76,78.8,69,20,13.87
539,batagay-alyta,ru,67.8,130.41,-37.86,0,8,2.82
150,mirandola,it,44.89,11.07,35.6,80,0,5.82
1565,evensk,ru,61.95,159.23,20.51,100,80,13.56
806,flin flon,ca,54.77,-101.86,24.8,79,20,6.93
2069,urazovo,ru,50.08,38.04,39.19,94,92,9.19
1757,santa maria,cv,16.6,-22.9,77,73,75,17.22
976,port-gentil,ga,-0.72,8.78,82.4,83,20,9.17
2243,kampot,kh,10.62,104.18,74.74,95,80,6.4
1221,gumdag,tm,39.21,54.59,30.01,92,0,13.11
199,kiunga,pg,-6.12,141.29,73.79,98,88,2.26
760,uhlove,ua,44.82,33.6,51.07,92,68,7.63
91,kodiak,us,57.79,-152.41,42.8,100,90,21.92
2387,gaya,ne,11.88,3.45,81.4,35,0,3.94
544,deputatskiy,ru,69.3,139.9,-19.59,27,56,2.82
973,pombas,cv,17.15,-25.02,76.36,100,12,18.81
291,nambucca heads,au,-30.65,153,68,88,92,10.29
395,padang,id,-0.95,100.35,76.36,100,92,7.29
57,vieste,it,41.88,16.18,49.09,100,92,10.2
157,hasaki,jp,35.73,140.83,35.6,93,12,1.12
256,port alfred,za,-33.59,26.89,66.82,90,80,5.95
134,clyde river,ca,70.47,-68.59,-2.21,77,75,6.93
1754,toyooka,jp,35.53,134.83,24.11,76,0,1.92
1564,mantua,cu,22.29,-84.28,80.14,66,24,8.41
1281,jumla,np,29.27,82.18,17.59,82,56,1.59
1204,sukabumi,id,-6.92,106.93,71.99,97,80,2.37
1704,dokka,no,60.84,10.06,16.82,76,24,3.71
1124,havre-saint-pierre,ca,50.23,-63.6,28.4,68,20,6.93
17,okmulgee,us,35.62,-95.96,71.6,60,1,19.46
1023,constitucion,cl,-35.33,-72.42,58.13,96,8,4.94
75,bengkulu,id,-3.8,102.27,78.02,100,92,10.98
1147,charlottetown,ca,46.24,-63.13,33.8,100,90,3.36
1624,natchitoches,us,31.76,-93.09,69.8,49,1,6.93
1034,dakar,sn,14.69,-17.44,80.6,74,0,14.99
2261,khuchni,ru,41.95,47.95,28.61,72,0,0.13
653,ust-kuyga,ru,70.02,135.6,-18.96,81,56,3.38
2455,kununurra,au,-15.77,128.73,78.8,94,90,3.36
1532,kavaratti,in,10.57,72.64,82.39,99,64,23.4
2,puerto ayora,ec,-0.74,-90.35,82.4,54,40,18.34
151,hilo,us,19.73,-155.09,73.4,69,90,14.99
2407,hofn,is,64.25,-15.21,35.09,100,12,4.61
1863,puerto escondido,mx,15.85,-97.07,84.2,54,5,5.82
1327,yerbogachen,ru,61.28,108.01,-8.2,78,80,5.28
120,chimore,bo,-16.98,-65.13,79.19,95,36,3.38
480,qasigiannguit,gl,68.82,-51.19,19.4,67,80,9.17
2358,sao gotardo,br,-19.31,-46.05,73.12,91,92,12.1
1396,ballina,au,-28.87,153.57,71.14,100,88,5.61
2054,ciudad guayana,ve,8.35,-62.65,81.71,83,80,6.4
527,kaoma,zm,-14.78,24.8,70.82,88,56,6.73
186,aksarka,ru,66.56,67.8,24.07,85,68,16.69
2062,egvekinot,ru,66.32,-179.17,10.66,93,68,2.26
901,junin,ar,-34.58,-60.94,75.1,67,88,16.35
1778,vestmanna,fo,62.16,-7.17,41,86,64,10.54
52,provideniya,ru,64.38,-173.3,32.12,100,24,10.2
28,port elizabeth,za,-33.92,25.57,64.4,82,40,4.7
791,naze,jp,28.37,129.48,68.62,100,76,9.75
97,tura,ru,64.28,100.25,-21.34,89,76,2.37
1085,spencer,us,43.14,-95.14,57.2,61,1,16.11
1522,red bluff,us,40.18,-122.24,53.6,50,1,4.72
95,sterling,us,39.01,-77.43,59,54,1,8.05
985,houma,us,29.6,-90.72,71.6,68,40,7.96
546,monte patria,cl,-30.69,-70.95,61.6,73,0,2.04
1217,bhikangaon,in,21.87,75.95,61.6,58,20,3.6
132,lebu,cl,-37.62,-73.65,56.02,94,0,8.41
59,rawlins,us,41.79,-107.24,48.2,42,1,28.86
1477,buala,sb,-8.14,159.59,79.91,100,68,11.1
171,lompoc,us,34.64,-120.46,62.6,54,1,11.77
1864,metro,id,-5.11,105.31,77.89,98,68,1.92
877,berdigestyakh,ru,62.1,126.7,-30.66,0,32,4.38
130,cairns,au,-16.92,145.77,75.2,94,40,6.93
1979,lalpur,in,22.2,69.97,69.7,57,88,7.4
1783,kisesa,tz,-3.08,34.15,68.17,82,64,0.81
622,southbridge,us,42.08,-72.03,42.8,60,90,3.36
354,karibib,na,-21.93,15.83,70.87,51,0,3.27
10,arraial do cabo,br,-22.97,-42.03,80.6,65,75,13.87
703,hualmay,pe,-11.1,-77.61,74.42,62,20,6.62
1459,alakurtti,ru,66.97,30.35,31,87,80,5.95
2014,meulaboh,id,4.14,96.13,75.46,100,92,11.1
1954,mahibadhoo,mv,3.78,72.97,82.97,100,92,12.77
375,tiznit,ma,29.58,-9.5,56.2,57,12,1.92
27,yellowknife,ca,62.46,-114.35,-18.41,75,40,4.7
766,marsh harbour,bs,26.54,-77.06,76.76,100,32,11.54
880,tilichiki,ru,60.47,166.1,0.67,90,44,2.59
2079,champerico,gt,14.3,-91.92,89.6,49,40,6.93
754,wamba,cd,2.15,27.99,74.78,76,44,2.93
2481,plettenberg bay,za,-34.05,23.37,63.08,99,0,5.39
506,husavik,is,66.04,-17.34,35.6,69,20,8.05
947,bayangol,ru,50.7,103.47,-21.52,26,12,2.37
733,pontianak,id,-0.03,109.33,80.05,94,48,3.71
668,gorontalo,id,0.54,123.06,74.02,96,0,1.81
246,richards bay,za,-28.78,32.04,72.85,81,76,13.22
48,kapaa,us,22.08,-159.32,73.4,56,20,4.7
2373,muroto,jp,33.28,134.15,62.32,100,0,11.99
1456,milici,ba,44.17,19.09,30.2,100,90,1.12
1029,shimoda,jp,34.67,138.95,57.32,100,0,12.77
2037,glenwood springs,us,39.55,-107.32,60.8,55,75,18.34
2341,cururupu,br,-1.83,-44.87,90.85,50,0,15.35
191,najran,sa,17.49,44.13,62.6,55,0,5.73
1556,honiara,sb,-9.43,159.95,75.2,100,75,3.83
1189,skjervoy,no,70.03,20.97,32,100,90,27.51
1465,leshan,cn,29.56,103.76,37.52,86,0,2.93
228,pacific grove,us,36.62,-121.92,55.4,58,1,11.41
174,ancud,cl,-41.87,-73.82,68.57,65,0,4.94
567,hobyo,so,5.35,48.53,79.15,76,0,17.02
555,goma,cd,-1.68,29.22,61.6,100,68,2.59
417,komsomolskiy,ru,43.98,46.7,49.31,84,0,19.48
68,pennagaram,in,12.13,77.9,68.89,98,68,3.38
738,duminichi,ru,53.93,35.11,24.07,91,68,6.4
90,holetown,bb,13.19,-59.64,86,74,40,20.8
24,ribeira grande,pt,38.52,-28.7,66.2,88,75,16.11
2086,cuenca,es,40.07,-2.13,31.45,67,0,9.42
1295,sistranda,no,63.73,8.83,41,100,40,19.46
1900,hay river,ca,60.82,-115.8,-2.21,84,75,5.82
12,pandan,ph,14.05,124.17,78.07,100,92,1.81
931,seoul,kr,37.57,126.98,41,93,75,1.12
11,morant bay,jm,17.88,-76.41,86,62,20,4.7
1453,teya,ru,60.38,92.63,8.32,71,92,9.19
74,madimba,tz,-10.4,40.33,78.8,88,20,11.41
332,sao filipe,cv,14.9,-24.5,79.06,90,24,16.8
1688,namibe,ao,-15.2,12.15,71.99,95,0,8.75
21,aleksandrovka,ru,47.22,39.82,41,93,92,11.18
1149,dombarovskiy,ru,50.76,59.54,5.57,75,56,6.4
1892,vitim,ru,59.45,112.56,-6.94,73,64,5.39
85,mackay,au,-21.15,149.2,73.4,94,90,9.17
1214,baisha,cn,26.52,110.93,45.85,98,92,2.37
63,mahebourg,mu,-20.41,57.7,78.8,69,20,13.87
1726,loveland,us,40.4,-105.08,59,49,1,6.93
1374,tashla,ru,51.77,52.74,18.31,82,92,10.54
831,watertown,us,42.37,-71.18,46.4,60,90,3.15
31,hobart,au,-42.88,147.33,48.41,95,92,8.75
320,harper,lr,4.38,-7.72,81.17,100,68,6.96
468,faanui,pf,-16.48,-151.75,80.54,100,80,13.78
533,kargasok,ru,59.06,80.86,23.48,81,88,8.41
207,camacha,pt,33.08,-16.33,64.4,68,40,10.29
143,vestmannaeyjar,is,63.44,-20.27,38.87,100,92,8.52
1157,oranjemund,na,-28.55,16.43,61.87,95,32,16.69
1936,qeshm,ir,26.96,56.27,71.6,19,0,18.34
1359,adelaide,au,-34.93,138.6,57.2,76,75,8.05
179,shizunai,jp,42.33,142.37,25.82,100,0,7.85
2372,suleja,ng,9.18,7.18,81.53,60,0,1.03
502,caravelas,br,-17.71,-39.25,79.87,99,0,21.83
1177,strezhevoy,ru,60.73,77.59,28.4,86,75,13.42
587,ketchikan,us,55.34,-131.65,39.2,93,90,4.7
70,vaini,to,-21.2,-175.2,75.2,100,90,1.12
2108,puerto narino,co,-3.77,-70.38,91.4,66,75,4.7
2199,astoria,us,46.19,-123.83,48.2,87,40,2.93
1075,ponta delgada,pt,37.73,-25.67,66.2,77,20,11.41
1516,yulara,au,-25.24,130.99,60.8,41,0,9.17
1090,madingou,cg,-4.15,13.55,79.15,83,12,1.59
1906,san vicente,ph,15.3,120.65,77,83,75,6.93
1690,aransas pass,us,27.91,-97.15,82.4,69,40,13.87
1984,mubi,ng,10.27,13.26,75.55,27,0,5.39
2252,yuanping,cn,38.72,112.76,6.29,64,0,2.48
1311,aguimes,es,27.91,-15.45,66.2,63,40,12.75
278,gayny,ru,60.31,54.32,28.39,86,80,8.63
1086,truro,ca,45.37,-63.27,37.4,93,90,4.7
1158,roma,au,-26.58,148.78,61.46,65,36,6.17
112,manali,in,13.17,80.27,77,83,40,3.36
2061,palmer,us,42.16,-72.33,42.8,69,90,2.59
1282,cernat,ro,45.95,26.03,24.02,85,20,2.59
205,shingu,jp,33.73,135.98,56.69,100,0,0.36
201,karangampel,id,-6.46,108.45,82.16,100,48,4.38
216,bo phloi,th,14.32,99.52,79.46,66,24,7.29
2311,sorland,no,67.67,12.69,35.6,51,40,12.75
2119,umm lajj,sa,25.02,37.27,72.94,92,0,3.15
1420,kodinsk,ru,58.69,99.18,4.81,76,76,6.17
492,saldanha,za,-33.01,17.94,64.4,63,0,9.17
1508,odienne,ci,9.51,-7.57,77,57,8,2.24
804,hambantota,lk,6.12,81.12,77.12,100,80,6.51
2145,enshi,cn,30.3,109.48,38.29,91,64,1.48
1329,tres picos,mx,15.87,-93.53,85.22,76,0,4.27
0,saint-philippe,re,-21.36,55.77,80.6,69,0,4.7
1317,ilula,tz,-7.68,36.04,75.2,57,20,3.38
1790,teno,cl,-34.87,-71.18,78.8,39,20,5.82
2140,gonbad-e qabus,ir,37.25,55.17,30.01,74,0,3.15
920,luderitz,na,-26.65,15.16,62.6,67,0,24.16
412,san patricio,mx,19.22,-104.7,91.4,79,40,3.49
864,ukiah,us,39.15,-123.21,48.2,66,1,4.38
1717,wilmington,us,34.23,-77.94,66.2,55,1,10.29
76,lorengau,pg,-2.02,147.27,83.42,100,80,20.94
165,sioux lookout,ca,50.1,-91.92,33.8,69,40,3.36
154,tasiilaq,gl,65.61,-37.64,21.2,57,68,2.24
117,formosa,ar,-26.18,-58.18,82.4,78,90,6.93
197,lumeje,ao,-11.55,20.78,71.81,92,20,2.71
1395,ban tak,th,17.04,99.08,68.89,92,48,1.59
353,cap-haitien,ht,19.76,-72.2,80.6,65,40,9.17
1765,merritt island,us,28.54,-80.67,80.6,73,1,6.93
2395,kuryk,kz,43.2,51.65,35.99,100,0,18.92
601,kidal,ml,18.44,1.41,72.44,27,44,3.71
627,te anau,nz,-45.42,167.72,47.74,83,0,3.6
2092,harer,et,9.31,42.13,49.72,78,0,3.38
94,iracoubo,gf,5.48,-53.2,85.76,68,32,7.74
2063,keti bandar,pk,24.14,67.45,74.29,98,0,17.81
2225,izumo,jp,35.37,132.77,39.2,86,20,4.7
1517,vostok,ru,46.49,135.88,-23.37,33,12,1.92
799,colares,pt,38.8,-9.45,48.2,100,0,9.17
1743,aginskoye,ru,51.1,114.53,-0.64,51,24,7.4
89,la ronge,ca,55.1,-105.28,14,92,75,4.7
146,victoria,sc,-4.62,55.45,82.4,78,75,14.99
1938,grand gaube,mu,-20.01,57.66,78.8,69,20,13.87
623,sibu,my,2.3,111.82,73.4,100,75,5.82
1180,dalvik,is,65.97,-18.53,35.6,69,20,8.05
92,rocha,uy,-34.48,-54.33,70.87,87,92,7.4
788,tupancireta,br,-29.08,-53.84,83.69,57,80,9.31
646,krasnoborsk,ru,61.56,45.93,29.33,80,88,8.63
1804,ostersund,se,63.18,14.64,33.8,80,40,17.22
223,barrhead,ca,54.13,-114.4,15.02,76,32,10.87
1572,kalaleh,ir,37.38,55.49,30.01,74,0,3.15
457,taltal,cl,-25.4,-70.48,70.73,49,0,2.93
178,iquique,cl,-20.22,-70.14,69.8,64,20,23.04
2464,nuevo progreso,mx,23.17,-97.95,76.76,93,68,8.63
657,camrose,ca,53.02,-112.84,15.8,85,20,10.29
326,zhuhai,cn,22.28,113.57,68,68,100,9.17
1836,suicheng,cn,33.9,117.93,40.36,99,92,11.77
1605,awjilah,ly,29.11,21.29,62.09,41,44,2.93
2437,polovinnoye,ru,54.79,65.99,16.96,86,88,12.88
436,sitka,us,57.05,-135.33,39.2,100,90,8.05
26,mar del plata,ar,-38,-57.56,60.8,93,90,16.11
606,koungheul,sn,13.98,-14.8,90.49,31,20,6.85
1249,goure,ne,13.98,10.27,74.65,21,32,7.96
2324,dauriya,ru,49.93,116.87,-14.05,59,12,7.18
1446,radcliff,us,37.84,-85.95,60.8,52,1,3.71
1186,celestun,mx,20.87,-90.4,79.82,92,0,13.22
144,vardo,no,70.37,31.11,30.2,92,75,16.11
2185,riviere-au-renard,ca,49,-64.4,32,100,90,4.7
1540,datong,cn,40.09,113.29,1.75,53,0,3.38
1377,boa vista,br,2.82,-60.67,96.8,37,75,9.17
2204,sechura,pe,-5.56,-80.82,75.68,72,0,12.21
1448,oistins,bb,13.07,-59.53,86,74,40,20.8
809,mogadishu,so,2.04,45.34,81.44,97,0,15.79
54,east london,za,-33.02,27.91,66.2,82,40,6.93
1348,yelizovo,ru,53.19,158.38,10.4,66,64,4.47
1042,beyneu,kz,45.32,55.2,14.12,82,0,7.29
71,bredasdorp,za,-34.53,20.04,68,56,0,8.05
576,labuhan,id,-6.88,112.21,86.26,98,20,11.54
213,cedar city,us,37.68,-113.06,55.4,32,1,34.45
1674,songjianghe,cn,42.19,127.48,-0.64,72,8,2.71
1856,alice springs,au,-23.7,133.88,57.2,54,0,6.93
1908,wanning,cn,18.8,110.4,71.81,100,68,20.71
2405,coari,br,-4.08,-63.14,90.17,64,12,6.4
599,vitorino freire,br,-4.07,-45.17,98.95,36,0,11.54
2055,beloha,mg,-25.17,45.05,76.13,87,20,5.61
1357,cartagena del chaira,co,1.33,-74.84,87.92,64,12,2.71
343,ostrovnoy,ru,68.05,39.51,30.91,89,64,16.24
1792,qujing,cn,25.48,103.78,40.45,98,80,3.6
843,san carlos de bariloche,ar,-41.15,-71.31,64.4,59,75,10.29
1742,zhengjiatun,cn,43.51,123.51,3.59,46,0,9.75
173,kaeo,nz,-35.1,173.78,52.15,82,0,2.71
1376,srednekolymsk,ru,67.45,153.68,8.18,80,80,4.94
811,belaya gora,ru,68.53,146.42,-0.91,68,88,12.77
1417,bol,td,13.46,14.71,75.19,18,0,7.85
1064,bilibino,ru,68.05,166.44,-4.02,86,12,3.38
187,geraldton,au,-28.77,114.6,68,94,40,8.05
3,lavrentiya,ru,65.58,-171,32.21,96,88,13.44
290,dzhebariki-khaya,ru,62.22,135.8,-49.92,0,36,2.59
853,hammerfest,no,70.66,23.68,30.2,92,90,17.22
2049,sangar,ru,63.92,127.47,-48.66,0,8,3.94
336,mount gambier,au,-37.83,140.77,55.57,79,92,4.72
478,manadhoo,mv,5.77,73.38,79.91,100,56,4.72
2435,chatra,in,24.22,84.87,51.8,87,0,3.36
2382,istok,ru,56.79,60.78,28.4,79,75,11.18
2326,chicama,pe,-7.84,-79.15,66.2,82,90,12.75
2339,izhma,ru,65.01,53.91,30.77,78,88,8.19
699,tyup,kg,42.73,78.36,8.63,100,20,2.93
616,yangjiang,cn,21.85,111.97,67.31,100,92,16.02
268,ahuimanu,us,21.44,-157.84,75.2,68,75,16.11
331,kainantu,pg,-6.29,145.87,63.08,98,44,1.48
683,zhaotong,cn,27.32,103.72,34.96,100,76,2.26
662,las vegas,us,36.17,-115.14,73.4,9,75,25.28
580,aykhal,ru,66,111.5,-15.76,66,44,2.93
1652,dudinka,ru,69.41,86.18,11.56,76,80,16.91
1013,craig,us,40.52,-107.55,55.4,52,1,13.44
136,kruisfontein,za,-34,24.73,63.08,85,0,5.95
1437,sheridan,us,44.8,-106.96,57.2,48,1,9.17
2218,ust-ilimsk,ru,58,102.66,1.84,68,64,5.39
267,bangassou,cf,4.74,22.82,85.81,45,0,5.61
1138,suez,eg,29.97,32.53,54.67,76,0,2.37
942,bubaque,gw,11.28,-15.83,86,45,32,3.36
40,cherskiy,ru,68.75,161.3,15.97,78,36,7.63
4,tuktoyaktuk,ca,69.45,-133.04,-5.81,76,20,4.7
1397,ardahan,tr,41.11,42.7,8.6,84,12,4.7
816,longyearbyen,sj,78.22,15.64,32,87,75,25.28
933,nizwa,om,22.93,57.53,61.01,82,100,4.16
